category_level,category_id,category_name_cn,parent_id,root_id,category_name_en
2,545,笑话,9,9, jokes
2,237,钢管舞,1,1, pole dance
2,119,医美整形,4,4, Cosmetic Surgery
3,2312,VR和全息投影,222,27,VR and holographic projection
3,1170,宠物鼠,233,17, pet rats
3,2228,堡垒之夜,271,3, Fortnite
3,2345,剧本杀,147,11, script kill
3,2267,藤球,126,7, Rattan ball
3,1386,戏曲片,288,39, Opera
2,420,城市风景,420,420, cityscape
2,191,友情,19,19, friendship
3,1065,跆拳道,128,7, Taekwondo
3,1947,海员,386,11, Seafarer
2,576,亲子售卖,25,25, Family Products
2,605,穿搭开箱,5,5, Fashion Unboxing
2,597,运动探店,7,7, sports Scout
3,1205,lolita,195,20,lolita
2,421,影视剧,39,39, movies and TV series
3,2326,友情短剧,123,39, friendship skits
3,1146,陶艺,167,15, Pottery
3,1060,羽毛球,126,7, badminton
3,1406,香港,289,39, Hong Kong
3,2252,口琴,110,2, harmonica
3,1182,鱼,183,17, fish
3,2268,曲棍球,126,7, hockey
1,37,奇人异象,37,37, Strange People and Extraordinary Phenomena
2,410,消费眼科,16,16, Consumer Ophthalmology
3,1312,麻将,266,3, Mahjong
3,1156,扭秧歌,170,15, Yangko Dance
3,2231,逆水寒,263,3, cold against the water
3,1041,配饰,121,5, accessories
3,1905,捕鱼,147,11, Fishing
2,188,用车知识,18,18, car knowledge
3,1340,香肠派对,271,3, sausage party
3,2128,塔罗牌,313,24, Tarot
3,1833,肉类,337,12, meat
3,1236,早教幼教,214,25, Early Childhood Education
2,130,极限运动,7,7, extreme sports
3,1320,迷你世界,268,3, Mini World
2,210,面相手相,24,24, face to hand
2,587,美食评测,12,12, Food review
2,406,住宿,10,10, accommodation
3,2285,射箭,593,7, archery
3,2270,柔道,128,7, judo
2,626,财产法律,30,30, Property Law
2,606,美食开箱,12,12, food unboxing
3,1154,软笔,169,15, soft pen
3,1887,亲子周边,214,25, parent-child periphery
3,1407,印度,289,39, India
3,1375,偶像片,288,39, Idol films
3,1451,滴胶,167,15, dripping glue
2,297,美妆开箱,4,4, beauty out of the box
2,552,魔法表情,20,20, magic expression
3,2282,击剑,593,7, fencing
3,2257,手碟,110,2, hand plate
3,1366,军事片,288,39, Military films
3,1363,警匪片,288,39, Cop Show
2,223,社会资讯,28,28, Social Information
2,245,美妆教学,4,4, Beauty teaching
2,562,车展资讯,18,18, Auto Show Information
3,2201,工程机械,156,11, Construction Machinery
3,2203,其他种植业,157,13, Other crops
3,1263,吉他,110,2, guitar
1,13,三农,13,13, agriculture
3,1069,游泳,129,7, swimming
3,2112,笛子,110,2, flute
2,591,高新数码教学,27,27, Advanced Digital education
3,1464,鸟,183,17, bird
3,1321,明日之后,431,3, After Tomorrow
3,1883,悠悠球,321,15, Yo-yo
3,1387,仙侠片,288,39, Fairy Films
2,550,二次元酷图,20,20, quadratic cool map
3,1233,备孕,213,25, pregnancy
2,324,相声,9,9, crosstalk
3,1850,滑翔伞,130,7, paragliding
2,369,人物摄影,26,26, People Photography
2,143,沿海游,10,10, coastal tour
2,281,户外探险,10,10, outdoor adventure
3,1123,韩语课,161,14, Korean class
2,339,软件产品,27,27, Software products
3,1135,考公务员,163,14, civil service exam
3,1286,超级马里奥,111,3, Super Mario
3,1243,考拉,183,17, Koala
3,2237,王牌战争：文明重启,271,3, Ace Wars: Civilization Reboot
3,2307,手风琴,110,2, accordion
2,642,小故事,19,19, short story
2,653,舞蹈与艺考,1,1, Dance and Arts
3,1231,0-3岁萌宝,235,25,0-3 years old cute baby
3,2288,射击,593,7, fire
3,1894,信用卡,204,22, credit card
3,1949,军人生活,1949,1949, Military Life
2,316,阅读,38,38, reading
2,153,烹饪,12,12, cooking
3,1053,瑜伽,125,7, Yoga
3,1349,剪纸,167,15, paper cut
2,101,手势舞,1,1, hand dance
3,1819,橡皮章,167,15, rubber stamp
3,1169,狗,233,17, dog
3,1461,烹调,292,12, cooking
3,1948,外卖员,386,11, delivery man
2,273,战争游戏,3,3, War games
3,2278,响鞭,389,7, Ringing whip
3,1409,王者模拟战,272,3, King Simulator
3,2272,摔跤,128,7, wrestling
2,396,收养法,30,30, Adoption Law
3,1350,爱情片,288,39,romance films
3,1904,品茶,147,11, Tea tasting
3,1465,亲子用品,1465,1465, paternity products
2,588,穿搭评测,5,5, wear evaluation
3,1241,其他数码,220,27, other numbers
2,359,单反摄影,26,26, SLR photography
3,1961,糖画,167,15, sugar painting
2,341,奇人,37,37, Unusual people
3,2346,彩票,147,11, lottery
3,1956,休闲蹦床,389,7, recreational trampoline
3,2348,塔吊司机,386,11, tower crane driver
3,2139,易经,313,24, I Ching
3,2308,双簧管,110,2, oboe
3,2266,棒垒球,126,7, baseball and softball
3,2356,方程式赛车,399,18, Formula 3
3,2330,逆袭短剧,123,39, Counterattack Shorts
